function_name,latency,arch
compose-post,99.65896606445312,RISCV
compose-post,97.99003601074219,RISCV
compose-post,100.37422180175781,RISCV
compose-post,99.65896606445312,RISCV
compose-post,97.2747802734375,RISCV
compose-post,99.18212890625,RISCV
compose-post,97.99003601074219,RISCV
compose-post,97.2747802734375,RISCV
compose-post,107.52677917480469,RISCV
compose-post,102.04315185546875,RISCV
compose-post,105.61943054199219,RISCV
compose-post,106.57310485839844,RISCV
compose-post,101.56631469726562,RISCV
compose-post,102.75840759277344,RISCV
compose-post,98.22845458984375,RISCV
compose-post,106.09626770019531,RISCV
compose-post,101.32789611816406,RISCV
compose-post,99.89738464355469,RISCV
compose-post,100.61264038085938,RISCV
